"Table 3","","","","","","","","","",""
"January to June ","","","","","","","","","",""
"Percent Change","","","","","","","","","",""
"for Consecutive Years 2014–2018","","","","","","","","","",""
"Years    ","Violent
crime","Murder","Rape1","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"2015/2014","1.7","6.2","1.1","0.3","2.3","-4.2","-9.8","-3.2","1.0","-5.4"
"2016/2015","5.3","5.2","3.5","3.2","6.5","-0.6","-3.4","-0.8","6.6","-1.1"
"2017/2016","-0.8","1.5","-2.4","-2.2","-0.1","-2.9","-6.1","-3.0","4.1","-3.5"
"2018/2017","-4.3","-6.7","0.6","-12.5","-2.0","-7.2","-12.7","-6.3","-3.3","-9.4"
"1 The figures shown in the rape column include only those reported by law enforcement agencies that used the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation.  ","","","","","","","","","",""
